"location","latitude","longitude"
"towards mullickbazar crossing",22.5474757,88.3591439
"bagan lane",22.5079448,88.3689838
"jhowtala road",22.5399555,88.365933
"khiddirpore bazar",22.5373887,88.3196791
"harisabha street",22.5401992,88.3260515
"khiddirpore crossing",22.5492038,88.3380973
"babu bazar",22.5373887,88.3196791
"khidderpur bazar",22.5373887,88.3196791
"harisava street",22.5402897,88.3258854
"shasmal road",22.5052125,88.3462367
"bidon street",22.5892305,88.3674535
" near strandle road crossing",22.572646,88.363895
"chatterjee lane",22.5331562,88.3514007
"bdhan sarani",22.5894051,88.3689259
"gariahat  flyover",22.5196179,88.3653423
"bhaduri sarani",22.586475,88.3695673
"bright street crossing",22.5370408,88.3688454
"gariahat flyover",22.5196179,88.3653423
"beckbagan crossing",22.5395554,88.3622755
"sandal street",22.5547365,88.3599129
"latif street",22.5573021,88.3623479
"pal lane",22.5326227,88.3407732
"central road",22.4961525,88.3601468
"moor avenue",22.4796082,88.3500398
"bandopadhyay sarani",22.4829091,88.3512178
"chanditala road",22.4871174,88.3475514
"nandan lane",22.5356622,88.3415132
"pandit street",22.537628,88.3432061
"kansaripara road",22.5344751,88.3428968
"ghosh road",22.4824525,88.3472682
"turf road",22.535591,88.3397919
"indoor stadium",22.5661722,88.3416074
"b avenue",22.5204831,88.3677349
"sen road",22.5099866,88.3470033
